id;name;sex
6217;Aleksey Petrovich Aydarov;M
2498;Gevorg Aleksanyan;M
16054;Nicole Bchler;F
11237;Bian Hongmin;M
10835;Berit Berthelsen (Tien-);F
8171;"Michael Ray ""Mike"" Barrowman";M
4956;Camillo Arduino;M
24685;Anselmo Gomes da Silva;M
879;Corran Descy Addison;M
10097;Joseph Benhard;M
24574;Lydia Czuckermann-Hatuel;F
7195;"Kathleen Ann ""Kathy"" Bald";F
4019;Taro Ando;M
9303;Pavel Bedn;M
8114;Francisco Carlos Barretto Jnior;M
1760;Thijs Joris Al;M
25639;Natalie Davies;F
26827;Mihly Dek-Brdos;M
18082;Todoro Capriles;M
19177;Juan Arnoldo Cayasso Reid;M
19126;Fernanda Trotta Cavalieri;F
11913;Joachim Bjrklund;M
29985;Torsten Dresel;M
2641;Alfre Karl Alfresson;M
5955;Marlon August-Accio;M
8602;Sandjema Batouli;F
29806;Antoine Doyen;M
5075;Dilshod Aripov;M
26813;S. Nimmi de Zoysa;F
21585;"Joseph ""Jos"" Cillien";M
87;Rost'om Omeris dze Abashidze;M
25877;Olga Lucia de Angulo Irragorri;F
19404;Frantiek ernk;M
1596;Raif Akbulut;M
29966;Jrg Drehmel;M
25546;"Wilbur D. ""Willie"" Davenport";M
6165;Daniel James Awde;M
7293;Mario Balla;M
3846;"Matthew ""Matt"" Anderson";M
7432;David Phillip Bamford;M
7654;Radosaw Baran;M
17951;Ccile Canqueteau;F
17008;Nataliya Vasilyevna Buzunova;F
30129;"Christopher Ellis ""Chris"" Drury";M
21917;Kerstin Claus-Knabe;F
17744;Ronald Bruce Campbell;M
15989;Giancarlo Bucchetti;M
29160;Jure Dolenec;M
5215;Vegard Arnhoff;M
23847;"James Crapo ""Jim"" Cristy, Jr.";M
11247;Bruno Bianchi;M
27315;Dimitrios Delifotis;M
28909;Nataliya Vladimirovna Dmitriyeva;F
3994;Tord Gran Andersson;M
1017;Nathan Ghar-Jun Adrian;M
28440;Leo Dierckx;M
8391;Khristo Barzanov;M
3195;Sergio lvarez Boulet;M
5402;Toyofumi Aruga;M
4679;Aleksandra Apanovich (-Klementyeva);F
660;Karem Faride Achach Ramrez;F
15362;Barry Brooker;M
5477;Kanji Asanuma;M
20903;Patrik Chlum;M
